Caldithrix abyssi
Candidatus Accumulibacter
Tepidanaerobacter acetatoxydans
Clostridium aceticum
Geoglobus acetivorans
Desulfobacca acetoxidans
Pelobacter acetylenicus
Stenotrophomonas acidaminiphila
Peptoclostridium acidaminophilum
Ferroplasma acidarmanus
Pediococcus acidilactici
Catenulispora acidiphila
Desulfosporosinus acidiphilus
Acidipropionibacterium acidipropionici
Syntrophus aciditrophicus
Alicyclobacillus acidocaldarius
Thermoplasma acidophilum
Lactobacillus acidophilus
Delftia acidovorans
Clostridium acidurici
Bifidobacterium actinocoloniiforme
Aggregatibacter actinomycetemcomitans
Oscillatoria acuminata
Leclercia adecarboxylata
Bifidobacterium adolescentis
Aquifex aeolicus
Spirosoma aerolatum
Caldilinea aerophila
Thioalkalimicrobium aerophilum
Microcystis aeruginosa
Prosthecochloris aestuarii
Spirochaeta africana
Mycobacterium africanum
Thermosipho africanus
Streptococcus agalactiae
Pantoea agglomerans
Chloroflexus aggregans
Staphylococcus agnetis
Geoglobus ahangari
Defluviimonas alba
Xanthomonas albilineans
Streptomyces albulus
Ignavibacterium album
Ruminococcus albus
Pseudomonas alcaliphila
Methylomicrobium alcaliphilum
Marinovum algicola
Algibacter alginolytica
Vibrio alginolyticus
Zhongshania aliphaticivorans
Halotalea alkalilenta
Oblitimonas alkaliphila
Desulfurivibrio alkaliphilus
Desulfatibacillum alkenivorans
Frankia alni
Filifactor alocis
Hafnia alvei
Streptomyces ambofaciens
Paracoccus aminophilus
Thermovibrio ammonificans
Sneathia amnii
Anoxybacillus amylolyticus
Lactobacillus amylophilus
Erwinia amylovora
Lactobacillus amylovorus
Riemerella anatipestifer
Gallibacterium anatis
Streptococcus anginosus
Bifidobacterium angulatum
Bifidobacterium animalis
Geobacter anodireducens
Elizabethkingia anophelis
Planococcus antarcticus
Lysobacter antibioticus
Aggregatibacter aphrophilus
Bartonella apis
Cyanobacterium aponinum
Aeromonas aquatica
Methylobacterium aquaticum
Thermus aquaticus
Rahnella aquatilis
Acetohalobium arabaticum
halophilic archaeon
Halocynthiibacter arcticus
Salinispora arenicola
Mycoplasma arginini
Pyrobaculum arsenaticum
Mycoplasma arthritidis
Candidatus Arthromitus
Porphyromonas asaccharolytica
Taylorella asinigenitalis
Bifidobacterium asteroides
Photorhabdus asymbiotica
Pectobacterium atrosepticum
Tolumonas auensis
Chloroflexus aurantiacus
Staphylococcus aureus
Corynebacterium aurimucosum
Alteromonas australica
Mahella australiensis
Clostridium autoethanogenum
Streptomyces autolyticus
Desulfobacterium autotrophicum
Acidovorax avenae
Streptomyces avermitilis
Cutibacterium avidum
